"audit_row","bottle","status","peated_id","skipped_fields","reason","source_urls"
"430","Moon Import Caol Ila","ADDED — optional facts left blank","B52743","statedAge | singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | releaseYear | releaseMonth | releaseDay | caskNumber | outturn | image","Cask count/identifier, cask strength, colour, filtration, malt PPM, release date and flavor profile remain unknown. Bonhams-derived 2015/2018 listings report 720 bottles, but the total is unreadable on this photograph and independent corroboration was not obtained; outturn remains null. Do not infer 12 years from 1984/1996 or use individual bottle 277 as a cask. No edition, alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8213291/caol-ila-1984-dovr-toutes-mares | https://www.whiskybase.com/whiskies/whisky/8688/caol-ila-1984-mi?language=nl | https://www.whiskynotes.be/2023/springbank/springbank-1985-moon-import/ | https://www.whiskyfun.com/2026/Caol-Ila-in-Utter-Chaos-Part-2-4.html"
"431","Caol Ila 1984 Scott's Selection","SKIPPED — unresolved identity","B18072 (possible match only)","entire release","Do not create or patch: B18072 already names Scott's Selection Caol Ila 1984, but has no ABV, bottling year, cask, image, barcode or exact reference to resolve its release. Fresh GET and both references checked. The source bottle is 53.5%; independent archives identify 1984/2006 at 53.5% and 1984/2007 at 54.1%. The generic existing record could be either. All 14 Scott's Selection bottles and complete Caol Ila inventories reviewed. No production mutation. Exact front/back photos and field observations retained locally; do not promote a possible match to a verified one.","https://whiskyauctioneer.com/whisky-lot/7043644/caol-ila-1984-scotts-selection | https://www.whiskyfun.com/Caol-Ila.html | https://www.scotchwhiskyauctions.com/auctions/111-the-73rd-auction/146606-caol-ila-1984-scotts-selection-75cl/"
"432","Murray McDavid Caol Ila","ADDED — optional facts left blank","B52744","statedAge | maltPhenolPpm | releaseMonth | releaseDay | outturn | image","Age, outturn, malt PPM, release month/day and flavor profile remain unknown. Keep statedAge null and NAS true: informal 12-year calculations are not a printed age. Preserve the 2006 archive discrepancy in this note; the first-person festival account published in 2011 and the specialist archive support 2005. Festival context stays in description/date rather than inventing a printed edition. No aliases or extra references. Do not infer that maturation occurred entirely in the small serving bloodtub. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/7043617/caol-ila-1993-bloodtub-valinch | https://www.whiskybase.com/whiskies/whisky/9384/caol-ila-1993-mm | https://www.homeofmalts.com/en/10618/caol-ila-1993-sherry-bloodtub-valinch-m.-mcdavid-55.1-vol.-0.5l | https://thehomersodyssey.wordpress.com/tag/feis-ile/page/2/"
"433","Dun Bheagan Caol Ila","ADDED — optional facts left blank","B52745","caskStrength | naturalColor | maltPhenolPpm | releaseYear | releaseMonth | releaseDay | image","Cask strength, colour, malt PPM, initial release date and flavor profile remain unknown. The superficially similar 1993/2004 retailer listing has different casks 3345/3347 and 1,236 bottles; do not copy its colour claims or image. No new series, edition, alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8213024/caol-ila-1993-dun-bheagan-11-year-old | https://www.whiskybase.com/whiskies/whisky/127878/caol-ila-1993-im | https://www.spiritradar.com/whisky-db/caol-ila-1993-im-dun-bheagan-hogshead-6793-6794-43-percent-700ml/"
"434","Caol Ila Special Festival Edition - Fèis Ìle 2012","EXISTING — identity matched; no changes","B17070","distillers | bottler | statedAge | noAgeStatement | releaseMonth | releaseDay | naturalColor | nonChillFiltered | maltPhenolPpm | flavorProfile | description | references","Exact label matches B17070: single sherry butt 300897, vintage 2001, bottled 2012, 60.4%, 618 bottles. Stored retailer image matches. No production changes. Current description incorrectly says 12 years. Contemporary producer announcement explicitly states 11 years and on sale 28 May 2012; factual replacement saved, not applied. Distiller/bottler links and age/NAS flag remain pending authenticated preflight. Colour, filtration and PPM unknown. Current profile unverified. Names preserved, aliases empty, protected references unresolved. Retailer's conflicting Single Cask No and placeholder dates rejected.","https://whiskyauctioneer.com/whisky-lot/5283563/caol-ila-2001-special-festival-edition-0 | https://www.whisky-news.com/En/news17.html | https://whiskyforeveryone.blogspot.com/2012/05/inbox-may-25-2012.html | https://www.masterofmalt.com/whiskies/caol-ila/caol-ila-feis-ile-2012-whisky/"
"435","Cadenhead's Caol Ila","ADDED — optional facts left blank","B52747","maltPhenolPpm | releaseMonth | releaseDay | caskNumber | outturn | image","Cask number, exact bottle count, malt PPM, release month/day and flavor profile remain unknown. Do not infer an outturn from one hogshead. No edition, alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5280943/caol-ila-2006-cadenheads-warehouse-tasting-16-year-old | https://www.whiskybase.com/whiskies/whisky/212248/caol-ila-2006-ca | https://www.whiskyshop.com/auctions/a53832-caol-ila-2006-16-year-old-cadenhead-s-warehouse-tasting | https://whiskylovingpianist.wordpress.com/2022/09/28/campbeltown-malts-festival-2022-cadenheads-warehouse-tasting/"
"436","La Maison du Whisky Caol Ila - #1.5","ADDED — optional facts left blank","B52748","caskStrength | maltPhenolPpm | releaseMonth | releaseDay | caskNumber | image","Cask-strength status, cask identifiers, malt PPM, release month/day and flavor profile remain unknown. The bottle code and barcode are package observations, not edition or cask facts. No alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8213916/caol-ila-2010-artist-collective-6-year-old-15 | https://www.whisky.fr/menu/embouteillages/creations/artist-collective | https://www.whiskybase.com/whiskies/whisky/101651/caol-ila-2010-lmdw | https://www.thewhiskyexchange.com/p/41566/caol-ila-2010-6-year-old-artist-collective-lmdw"
"437","Caol Ila 2014 The Art Collection 11 Year Old","SKIPPED — unresolved identity","E366656 (created dependency; not used)","entire release","The create receipt matched the reviewed null description. A fresh GET then showed an automatically generated description while descriptionSrc remained null. The public production CLI exposes no entity update route to clear or provenance-tag that content. Identity fields and website are correct, but this dependency cannot pass the catalog verification gate and is not used for a Bottle.","https://whiskyauctioneer.com/whisky-lot/8213141/caol-ila-2014-art-collection-11-year-old | https://www.theartcollectionwhisky.it/dripping-art/ | https://www.theartcollectionwhisky.it/ | https://www.whiskybase.com/whiskies/whisky/289499/caol-ila-2014-ud"
"438","Caol Ila Special Festival Edition - Fèis Ìle 2019","EXISTING — identity matched; no changes","B2388","distillers | noAgeStatement | releaseMonth | releaseDay | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | caskNumber | flavorProfile | description | image | references","Exact label matches B2388: age 22, bottled 2019, natural cask strength 58.4%, sherry-treated American oak casks, 3000 bottles. No production changes. Missing distiller link, NAS=false and 27 May 2019 release date saved locally. No vintage inferred from age. Colour, filtration, PPM and cask number unknown. Current profile and generated tasting claims unverified; factual description saved. Stored image identity matches; rough bag edges flagged for quality review, no replacement. Names preserved, aliases empty, protected references unresolved.","https://whiskyauctioneer.com/whisky-lot/5271940/caol-ila-22-year-old-special-festival-edition | https://distiller.com/articles/new-booze-news-may-2019 | https://www.just-whisky.co.uk/product/caol-ila-22-years-old-feis-ile-2019-1400776"
"439","Caol Ila Cask Strength Johnnie Walker Mentoring","SKIPPED — unresolved identity","B1120 (possible match only)","entire release","Do not create or patch. The exact label proves a Caol Ila no-age-statement Cask Strength bottling at 55% for Johnnie Walker Mentoring, but it does not prove different whisky from the standard 55% cask-strength line. B1120 is the existing generic Caol Ila Natural Cask Strength record with all dates and ABV missing; its sole reference is canonical and cannot resolve the mentoring label. B5063 is explicitly distillery-only and less likely. Secondary sources call the mentoring bottle an exclusive or rebottling, which does not prove a separate marketed release under the package-variant rule. Keep the clean exact images and source facts, but do not add or edit production data until same-release or distinct-release evidence appears.","https://whiskyauctioneer.com/whisky-lot/5283480/caol-ila-cask-strength-johnnie-walker-mentoring | https://www.whiskybase.com/whiskies/whisky/81208/caol-ila-cask-strength | https://www.thewhiskyvault.com/caol-ila-cask-strength-johnnie-walker-mentoring-bottling-14340-p.asp | https://www.rarewhisky101.com/indices/distillery-specific-indices/caol-ila-index"
"442","Signatory Vintage Caperdonich","ADDED EARLIER — create and image verified","B52390","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/8213761/caperdonich-1992-cask-strength-collection-20-year-old"
"443","Jack Wiebers Whisky World Caperdonich","ADDED EARLIER — create and image verified","B52391","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/8213769/caperdonich-1992-old-train-line-20-year-old"
"447","Jack Wiebers Whisky World Caperdonich - Whiskyschiff Zürich 2015","ADDED EARLIER — create and image verified","B52392","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/8213771/caperdonich-1994-great-ocean-liners-21-year-old"
"458","Original source missing — Cardhu fifteen-year proposal only","SKIPPED — unresolved identity","B4604 (possible match only)","entire release","All recovered observations and the source index checked. Only ordinal 2336 retains B4604 Cardhu fifteen-year Speyside and a proposed 40% ABV patch. No original title, URL or source identity survives. Candidate fields do not verify the lost source. Entire row skipped; no production writes or confirmed match.",""
"459","Original source missing — Cardhu candidate with ambiguous 11.12 code","SKIPPED — unresolved identity","B3723 (possible match only)","entire release","All recovered observations and the source index checked. Ordinal 2431 retains an unresolved B3723 Cardhu Special Cask Reserve candidate and the old warning 'SMWS 11.12 vs missing', but no original title or lot URL. Research found both Cardhu Batch Cs/cR.11.12 at 40% and Tomatin SMWS 11.12, age 20, vintage 1977, 56.9%. The code alone is not a safe source join; the SMWS label may be an old parsing error. Linked pages are comparison leads only, not proof of the original row. The CLI search also timed out before returning results. Entire row skipped; do not add or patch either identity.","https://whiskyauctioneer.com/whisky-lot/8208486a/cardhu-special-cask-reserve-batch-cscr1112 | https://www.whiskybase.com/whiskies/whisky/30603/cardhu-special-cask-reserve | https://www.whiskybase.com/whiskies/whisky/113393/tomatin-1977-smws-1112"
"462","Original source missing — Chichibu Chibidaru proposal only","SKIPPED — unresolved identity","B4011 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B4011 Ichiro's Malt Chibidaru, candidate vintage 2010 and a proposed 59.4% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"465","Chichibu Intergalactic - Edition 4","ADDED EARLIER — create and image verified","B52393","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/8207154a/chichibu-2012-intergalactic-series-edition-4"
"472","Chichibu Intergalactic - Edition 5","ADDED — optional facts left blank","B52750","statedAge | maltPhenolPpm | releaseMonth | releaseDay | image","Stated age, malt PPM, release month/day and flavor profile remain unknown. The release is positively no-age-statement; no age is inferred from the 2015 and 2021 years. No alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/8207156a/chichibu-2015-intergalactic-series-edition-5 | https://www.whiskybase.com/whiskies/whisky/188330/chichibu-2015 | https://www.wvawhiskyauctions.co.uk/lot-601088/chichibu-2015-intergalactic-series-edition-5 | https://whiskypto.com/products/ichiros-malt-chichibu-intergalactic-edition-5"
"477","Chichibu Shibazakura Flower Festival","ADDED — optional facts left blank","B52751","maltPhenolPpm | releaseMonth | releaseDay | image","Series, edition, malt PPM, release month/day and flavor profile remain unknown. Do not confuse this cask with the separate Shibazakura Umeshu cask 16109 at 61%. No alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/7043821/chichibu-2018-shibazakura-flower-festival | https://pro.whisky.fr/p/chichibu-7-ans-cask-10977-bourbon-barrel-2nd-fill-ex-peated-shibazakura-flower-festival-101136 | https://www.whiskyshop.com/fr/chichibu-7-ans-shibazakura-ex-peated-barrel-10977 | https://www.whiskybase.com/whiskies/whisky/300873/chichibu-2018"
"482","Original source missing — Chivas Regal twelve-year proposal only","SKIPPED — unresolved identity","B42431 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B42431 Chivas Regal twelve-year and a proposed 40% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"484","Original source missing — Chivas Regal twenty-five-year proposal only","SKIPPED — unresolved identity","B16144 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B16144 Chivas Regal twenty-five-year and a proposed 43% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"486","Chivas Regal Legend Special Reserve - Batch No. LD00167","ADDED EARLIER — create and image verified","B52394","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/8212006/chivas-regal-legend-special-reserve-batch-no-ld00167"
"489","Original source missing — Lynch Isle Cask Series 011 proposal only","SKIPPED — unresolved identity","B2163 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B2163 Lynch Isle, candidate vintage 2000, age twenty and Cask Series 011, with a proposed 53.3% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"492","SMWS 26.39 Spirited elan'","ADDED EARLIER — create and image verified","B52395","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5283710/clynelish-1983-smws-21-year-old-2639"
"499","Clynelish Distillery Exclusive Bottling - Batch #02","ADDED EARLIER — create and image verified","B52396","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5280854/clynelish-distillery-exclusive-bottling-batch-02"
"504","Cotswolds Highgrove Coronation Vatting - Batch Number #001","ADDED EARLIER — create and image verified","B52397","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5280785/cotswolds-highgrove-coronation-vatting-batch-number-001"
"509","Original source missing — SMWS 122.63 candidate proposal only","SKIPPED — unresolved identity","B14636 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2306 retains only B14636 Brilliant bouillon and its candidate facts: code 122.63, age eight, vintage 2015, 60.3%. Unlike a printed source code, a code copied from a proposed catalog match does not prove the lost source identity. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"512","Original source missing — Cutty Sark eighteen-year proposal only","SKIPPED — unresolved identity","B17306 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B17306 Cutty Sark eighteen-year and a proposed 43% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"518","Original source missing — Dalmore twelve-year proposal only","SKIPPED — unresolved identity","B423 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B423 Dalmore twelve-year and a proposed 40% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"519","Original source missing — Dalmore fifteen-year proposal only","SKIPPED — unresolved identity","B13784 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B13784 Dalmore fifteen-year and a proposed 40% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"541","Original source missing — Dewar's twenty-five-year proposal only","SKIPPED — unresolved identity","B14267 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B14267 Dewar's twenty-five-year and a proposed 40% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"558","Edradour The Warrior Series","ADDED — optional facts left blank","B52752","statedAge | maltPhenolPpm | releaseMonth | releaseDay | outturn | image","Stated age, outturn, malt PPM, release month/day and flavor profile remain unknown. Do not calculate an age from dates or treat cask 239 as a 239-bottle outturn. No edition, alias or extra reference. Exact clean image saved locally. Upload pending: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/7043918/edradour-2006-warrior-series | https://www.whiskybase.com/whiskies/whisky/85884/edradour-2006 | https://www.spiritradar.com/whisky-db/edradour-2006-the-warrior-series-60.3-percent-500ml/"
"567","Original source join unresolved — Four Roses 2023 anniversary lead","SKIPPED — unresolved identity","","entire release","The listed URLs verify the fresh 2023 135th Anniversary Four Roses release, not its assignment to original audit row 567. Only parser fragments 2023 and release 135 survive; the original title, lot URL and image ID are absent. Skip this row rather than claim a recovered identity. The complete Four Roses inventory has no exact annual match; B44913 is the rejected 2013 candidate. Producer packshot and evidence are saved separately in research-fourroses-567-27.json. Its 4,950 versus approximately 15,060 outturn claims also remain unresolved. No production write.","https://whiskyauctioneer.com/whisky-lot/8214001/four-roses-barrel-strength-small-batch-bourbon-2023-release-135th-anniversary | https://www.fourrosesbourbon.com/bourbon/2023-135th-limited-edition-small-batch | https://www.breakingbourbon.com/bourbon-whiskey-press-releases/four-roses-distillery-to-launch-anniversary-limited-edition-small-batch-bourbon-on-september-15"
"572","Original source missing — George T. Stagg 2019 candidate proposal only","SKIPPED — unresolved identity","B13523 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B13523 George T. Stagg 2019 and a proposed 58.45% ABV patch. The annual edition is a candidate fact, not a verified original title. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"573","Original source missing — George T. Stagg 2020 candidate proposal only","SKIPPED — unresolved identity","B13247 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B13247 George T. Stagg 2020 and a proposed 65.2% ABV patch. The annual edition is a candidate fact, not a verified original title. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"585","Original source missing — Glen Garioch ten-year candidate proposal only","SKIPPED — unresolved identity","B43038 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B43038 The Single Malts of Scotland Glen Garioch ten-year 2013 and a proposed 40% ABV patch. No surviving source establishes this bottler or strength. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"598","Original source missing — Glen Grant twenty-five-year proposal only","SKIPPED — unresolved identity","B17327 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B17327 Glen Grant twenty-five-year and a proposed 43% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"617","SMWS 77.9 A tennis court whisky","ADDED EARLIER — create and image verified","B52398","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5283714/glen-ord-1987-smws-17-year-old-779-tennis-court-whisky"
"619","Original source missing — Glen Scotia eighteen-year proposal only","SKIPPED — unresolved identity","B3156 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B3156 Glen Scotia eighteen-year Classic Campbeltown Malt and a proposed 46% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"633","Gordon & MacPhail Glenburgie - Batch 22/006","ADDED EARLIER — create and image verified","B52399","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/7043903/glenburgie-1990-connoisseurs-choice-31-year-old"
"635","Hart Brothers Glenburgie","ADDED — optional facts left blank","B52563","singleCask | caskStrength | naturalColor | nonChillFiltered | maltPhenolPpm | vintageYear | bottlingYear | releaseYear | releaseMonth | releaseDay | maturation | caskNumber | outturn | image","Edition, single-cask and cask-strength status, natural colour, filtration, malt PPM, vintage, bottling and release dates, maturation wording, cask number, outturn and flavor profile are unverified. Keep null. All 26 writable facts and the image were reviewed; the series ID was resolved and verified in pass 36. Tasting notes are read-only and are not submitted. Exact clean stock image inspected and saved locally. Not uploaded: the JSON CLI does not accept multipart files. No direct credential-based upload attempted.","https://whiskyauctioneer.com/whisky-lot/5280819/glenburgie-finest-collection-10-year-old | https://www.whiskybase.com/whiskies/whisky/13577/glenburgie-10-year-old-hb?language=en | https://hartbrothers.co.uk/our-archives/"
"647","Original source missing — Glenfarclas fifteen-year proposal only","SKIPPED — unresolved identity","B436 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B436 Glenfarclas fifteen-year and a proposed 54.2% ABV patch. Do not replace a generic catalog strength from an unverified old proposal. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"650","Glenfarclas 50th Anniversary of the Visitor Centre","ADDED EARLIER — create and image verified","B52400","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5280879/glenfarclas-2014-specially-selected-commemorate-50th-anniversary-visitor-centre"
"658","Glenfiddich Grand Yozakura","ADDED EARLIER — create and image verified","B52401","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/7043880/glenfiddich-grand-yozakura-29-year-old"
"669","Original source missing — Glengoyne fifteen-year proposal only","SKIPPED — unresolved identity","B16972 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B16972 Glengoyne fifteen-year and a proposed 43% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"675","Original source missing — Glenlivet twelve-year proposal only","SKIPPED — unresolved identity","B647 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B647 Glenlivet twelve-year and a proposed 40% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"682","SMWS 2.54 Sweet, like peppered honey","ADDED EARLIER — create and image verified","B52402","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5283146/glenlivet-1988-smws-16-year-old-254"
"701","Original source missing — Glenmorangie Dornoch proposal only","SKIPPED — unresolved identity","B16450 (possible match only)","entire release","All three recovered observation files and the source index checked. Ordinal 2336 retains B16450 Glenmorangie Dornoch Limited Edition and a proposed 43% ABV patch. No original auction title, lot URL or verified source join survives. Skip the entire row; do not replay the proposal or declare a confirmed match. No production write.",""
"703","Glenmorangie Sesquicentennial Selection","ADDED EARLIER — create and image verified","B52403","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/7043805/glenmorangie-sesquicentennial-selection-21-year-old-buchan-stonewear-decanter"
"710","Original source missing — Glentauchers Playful Proverbs proposal only","SKIPPED — unresolved identity","B2476 (possible match only)","entire release","Only a 1996 candidate and proposed 45% ABV survive. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"711","Original source missing — Glenturret twelve-year proposal only","SKIPPED — unresolved identity","B2097 (possible match only)","entire release","The 2020 Maiden Release is a candidate, not the original source identity. Proposed 40% ABV is unverified. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"714","SMWS 16.31 Dichotomy of sweet and savoury","ADDED EARLIER — create and image verified","B52404","","Legacy import record. The create receipt and later image write agree on the Bottle ID and name.","https://whiskyauctioneer.com/whisky-lot/5283698/glenturret-2001-smws-10-year-old-1631-dichotomy-sweet-and-savoury"
"721","Goldlys Oloroso Finish - First Release","ADDED — optional facts left blank","B52443","singleCask | caskStrength | nonChillFiltered | maltPhenolPpm | vintageYear | releaseYear | releaseMonth | releaseDay | caskNumber | outturn","Outturn conflict: 1800 versus 1850. Cask identifiers 2615 + 27 lack readable-label confirmation. Do not infer release year from bottling year. Filtration, strength status, single-cask status, vintage, phenol and flavour profile remain unknown. No verified named series, alias, reference, merge or group change.","https://assets.whiskyauctioneer.com/2026-08/8213825-001.jpg | https://whiskyauctioneer.com/whisky-lot/8160323/goldlys-12-year-old-first-release | https://www.masterofmalt.com/blog/post/filliers-distillery-its-in-belgium/ | https://www.mahler-besse.com/spiritueux/goldlys | https://www.whiskybase.com/whiskies/whisky/34245/goldlys-12-year-old"
"733","Original source missing — Hanyu 2000 proposal only","SKIPPED — unresolved identity","B849 (possible match only)","entire release","Only a 2000 candidate and proposed 59.4% ABV survive; no exact cask is established. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"741","Original source missing — Hazelburn eight-year proposal only","SKIPPED — unresolved identity","B17325 (possible match only)","entire release","Only an eight-year candidate and proposed 46% ABV survive. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"743","Original source missing — SMWS CW1.1 proposal only","SKIPPED — unresolved identity","B49523 (possible match only)","entire release","The CW1.1 code, title A rocking chair whiskey, eleven-year age, 61.6%, 2009 and 2021 are candidate facts, not a recovered source label. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"748","Original source missing — Highland Park twelve-year proposal only","SKIPPED — unresolved identity","B1158 (possible match only)","entire release","Proposed 43% ABV conflicts with another lost-source row mapped to the same candidate at 40%; neither proposal establishes a release. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"765","Original source missing — Highland Park twelve-year proposal only","SKIPPED — unresolved identity","B1158 (possible match only)","entire release","Proposed 40% ABV conflicts with another lost-source row mapped to the same candidate at 43%; neither proposal establishes a release. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"782","Original source missing — SMWS 112.138 proposal only","SKIPPED — unresolved identity","B43639 (possible match only)","entire release","The 112.138 code, title A warm fuzzy crowd pleaser, seventeen-year age, 57.2% and 2008 are candidate facts, not a recovered source label. All recovered observation sets and the source index were checked. No original auction title, lot URL or verified label join survives. Skip the entire row; do not replay a proposed edit or claim a confirmed match. No production write.",""
"783","Indri 2017 Single Cask 5 Year Old - Prineus GmbH","SKIPPED — unresolved identity","","entire release","Do not create or patch. The auction title and Bottle Details identify a 2017 five-year-old ex-bourbon Indri bottled for Prineus GmbH at 58.5%, but the auction's own exact lot image is a different release: cask 303, an ex-wine Indri distilled in 2015 and bottled at seven years old. Independent records confirm at least two plausible 2017 five-year-old ex-bourbon Prineus releases, casks 2932 and 3045, so the generic auction title cannot identify which one was intended after rejecting the mismatched image. The complete current Indri entity and distiller inventories each contain five Bottles and no Single Cask candidate. Preserve the conflict and image as evidence only; do not upload that image or add a guessed Bottle.","https://whiskyauctioneer.com/whisky-lot/5271983/indri-2017-single-cask-5-year-old-prineus-gmbh | https://www.whiskybase.com/whiskies/whisky/236622/indri-2017 | https://www.whiskybase.com/whiskies/whisky/256120/indri-2017 | https://www.whiskybase.com/whiskies/whisky/236353/indri-2015 | https://whiskyexperts.net/prineus-bringt-drei-indri-single-cask-abfuellungen-der-piccadily-distillery-aus-nordindien/ | https://getabottle.de/en/products/indri-single-cask-wine-303-7-jahre-indian-whisky-58-5"
